id	url	bodyText	What (is the problem?)	Where (is the problem?)	Accepted?
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxMjE1ODU2OA==	https://codeupcrc.github.io/?key=4	We can change this to Collections.singletonList(0L);	Complex, long, or inadequate logic	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2NjIzMDU3MQ==	https://codeupcrc.github.io/?key=14	Plz try not to have duplicate code, it will be difficult to maintain	Complex, long, or inadequate logic	Conditional	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2NTQ1NzYxMQ==	https://codeupcrc.github.io/?key=20	Useless?	Unnecessary Code	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0MTMyMTU1Nw==	https://codeupcrc.github.io/?key=19	Maybe parseOrigin is better?	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2OTE1NTA1NQ==	https://codeupcrc.github.io/?key=31	nit: The name of the function doesn't suggest to me the type. Maybe createClaimsJwt()?	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwNjkzMDYyMA==	https://codeupcrc.github.io/?key=27	What should be defined by a setter?	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3NTAzMzk3NA==	https://codeupcrc.github.io/?key=39	I think our convention is like:                         Suggested change                                                                                                  private static final String FILE_SIZE_OPTION = "hive.file.minsize";                                                  private static final String FILE_SIZE_OPTION = "hive.file.size.min";	Wrong, missing, or inadequate string expression or literal	Literal	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4OTA5OTE0MA==	https://codeupcrc.github.io/?key=36	Do we have to get rid of this?	Unnecessary Code	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0NTM4ODE4MQ==	https://codeupcrc.github.io/?key=41	might as well remove rather than commenting out	Unnecessary Code	Call	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2MjQxMTI4Ng==	https://codeupcrc.github.io/?key=40	I'd prefer to just keep the (unfriendly) current names as well - as sort of an ecosystem compatibility thing. The names attached to the data are a bit like an API and better to pass that through then make what is essentially a translation layer. So this would be ankiGetCardMod, and other getCardId etc Avoiding naming confusion+education-need+problems and referring upstream is the desired outcome for me with that stance - upstream docs will remain relevant for reference	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU1NjU4NDEyNw==	https://codeupcrc.github.io/?key=58	With a lambda, this would be slightly shorter:       Threads.createThread("Halt Thread", () -> {         sleepUninterruptibly(100, TimeUnit.MILLISECONDS);         Runtime.getRuntime().halt(status);       }).start();	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5MDYzNTEyMg==	https://codeupcrc.github.io/?key=61	What is the significance of depth 4? Could add to a comment.	Incomplete or inadequate code documentation	Conditional	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5NzkwMzU0OA==	https://codeupcrc.github.io/?key=60	Some of the deprecated properties have the following in their description.  I think this is nice for the generated documentation.                         Suggested change                                                                                                      "The number of threads to use when moving user files to bulk ingest "                                                      "This property is deprecated since 2.1.0. The number of threads to use when moving user files to bulk ingest "	Wrong, missing, or inadequate string expression or literal	Literal	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyNDQyNjYwNg==	https://codeupcrc.github.io/?key=64	Seems like this might be unused now that the loop it was in before is gone?	Unnecessary Code	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMzkxNTY5Ng==	https://codeupcrc.github.io/?key=66	I would encapsulate this logic in a separate method on a separate class to make it more readeable an d shorter ie translation from request to QueueConfiguration	Complex, long, or inadequate logic	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMjMwNjQ0MQ==	https://codeupcrc.github.io/?key=85	I think you can replace autodetectParser with parser == null and eliminate the three-args constructor.	Complex, long, or inadequate logic	Parameter	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2MzY5NTYwOQ==	https://codeupcrc.github.io/?key=83	Looks like it could be simplified: Reader reader = new BufferedReader(new InputStreamReader(minioObject, StandardCharsets.UTF_8));	Complex, long, or inadequate logic	Try-Catch	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNjY5ODE5OQ==	https://codeupcrc.github.io/?key=115	It's better to rename JacksonSerialize to JsonSerializer	Bad identifier	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3NTAyMjI2Nw==	https://codeupcrc.github.io/?key=123	Should use prefixAndClause.getValue().includesColumn(filteringColumn) — it's more semantically intentful and also the logic is slightly different.	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2NzIxMzU4Nw==	https://codeupcrc.github.io/?key=125	I think you could get  consumerModel directly from invocation attributes	Complex, long, or inadequate logic	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzOTcyMjQ2Ng==	https://codeupcrc.github.io/?key=128	Don't add new commented out imports, but clean up	Unnecessary Code	Import	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyNjI3Njg5Ng==	https://codeupcrc.github.io/?key=138	usually added at the very top of a javadoc	Incomplete or inadequate code documentation	Method	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMjA3NjU4NA==	https://codeupcrc.github.io/?key=151	What is the task here? Please explain. This is for all javadocs. There is no harm in writing more lines :P	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUxMjcxMTIwOQ==	https://codeupcrc.github.io/?key=155	Please add comments to explain the reason.	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4NTQyODA4OA==	https://codeupcrc.github.io/?key=166	nit, customizedStateName -> customizedStateType or type?	Bad identifier	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU0OTUyMzc2Nw==	https://codeupcrc.github.io/?key=180	Did you mean interaction or intersection?	Bad identifier	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUyNjU3Mzk0MA==	https://codeupcrc.github.io/?key=182	Nit: Typo shake -> sake	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4NzczMTM4Mg==	https://codeupcrc.github.io/?key=196	@see should be placed after @return	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3ODExNDM5Nw==	https://codeupcrc.github.io/?key=197	Failure callback. @param failReason Exception caused a failure.	Incomplete or inadequate code documentation	Method	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwMzMzMzc2OA==	https://codeupcrc.github.io/?key=189	Lets rename to dataPacket ?	Bad identifier	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUzMzYyMjczMA==	https://codeupcrc.github.io/?key=211	Minor: "generateViolation" read better.	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5MDY0NTk0MQ==	https://codeupcrc.github.io/?key=222	Do I read this right, that we're doing the exact same thing twice?	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0NTM4MzA1MA==	https://codeupcrc.github.io/?key=242	A bit better way is StandardCharsets.UTF_8[.name()].	Missing constant usage	Literal	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUzNDQ1OTkzOQ==	https://codeupcrc.github.io/?key=244	It might make sense to call this StatelessProvenanceRepository or perhaps RingBufferProvenanceRepository just to avoid confusion with the existing VolatileProvenanceRepository?	Bad identifier	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNzAwODQzMA==	https://codeupcrc.github.io/?key=272	This can potentially flood the log. Can we extract line 376-405 in existing code into a method and call that here?	Inadequate logging and monitoring	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2NzYyMjcwNg==	https://codeupcrc.github.io/?key=277	Should we define "MONTHS" and "WEEKS" as constants?	Missing constant usage	Parameter	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU0MzQ5ODc3Mg==	https://codeupcrc.github.io/?key=317	indention seems off	Inconsistent or disrupted formatting	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUxMjY1NTk3Mw==	https://codeupcrc.github.io/?key=332	setup() for authentication and configure() for authorization - could we simply unify these and go with setup() for both? As long as the two methods have the same name/signature then it should look like one method from an inheritance perspective, no?	Complex, long, or inadequate logic	Method	Accepted
