project	pr_number	id	key	url	bodyText	RQ1 - Scope	RQ1 - Understandability?	selected-sample	RQ2 - Understandability smells	RQ2 - Where	RQ3 - Acceptability	RQ4 - Improvement	RQ5 - Patch Merged	RQ5 - Patch reverted in the pull request	RQ5 - Patch in the last version of the file	RQ5 - Patch reverted in the codebase history	RQ6 - Spotbugs	RQ6 - PMD	RQ6 - SonarQube	RQ6 - Checkstyle	RQ6 - Covered	Implicit or Explicit?	Why is this related to understandability?
akvo/akvo-flow	3658	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwNzY4ODM4OA==	3	https://codeupcrc.github.io/?key=3	If we follow the current behaviour of the app, it will send requests to the backend until the returned results == 0. So take the case of 34 assigned datapoints.  First query = 30 datapoints and cursor=30 second query = 4 datapoints and cursor=(4 or 34?) third query = 0 datapoints and cursor=(?)	Code	No	FALSE															
akvo/akvo-flow	3701	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUzNTE0MTIzMQ==	1	https://codeupcrc.github.io/?key=1	this complex one can be done with new ArrayList(sourceToCopiedGroupMap.values()) ? not sure the value of stream to just get the values	Code	No	FALSE															
akvo/akvo-flow	3532	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxMjE1ODU2OA==	4	https://codeupcrc.github.io/?key=4	We can change this to Collections.singletonList(0L);	Code	Yes	TRUE	Complex, long, or inadequate logic	Method	Accepted	Replace an expression by an alternative expression	Yes		Yes		NONE	NONE	NONE	NONE	FALSE	Implicit	The reviewer suggests an alternative expression that makes the code more concise. It is not related to functionality or performance.
akvo/akvo-flow	3673	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUyNzk0NjY4Mw==	2	https://codeupcrc.github.io/?key=2	Use ds.get() if we know the id of the entity we want	Code	Discard	FALSE															
akvo/akvo-flow	3474	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5MzgzMjg2NA==	5	https://codeupcrc.github.io/?key=5	Why is this important for this test?	Code	No	FALSE															
alibaba/nacos	2926	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNzgyMTMwOQ==	11	https://codeupcrc.github.io/?key=11	remove extra blank line	Code	Yes	FALSE															
alibaba/nacos	2926	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNzgyMTQwMQ==	12	https://codeupcrc.github.io/?key=12	remove extra blank line	Code	Yes	FALSE															
alibaba/nacos	3288	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1MjE2Mzk1OQ==	8	https://codeupcrc.github.io/?key=8	Why skip MissingJavadocMethod check？	Code	No	FALSE															
alibaba/nacos	3288	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1MjE2NTE0Nw==	9	https://codeupcrc.github.io/?key=9	can this pass checkstyle？	Javadoc	Yes	FALSE															
alibaba/nacos	2304	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2NjIzMDU3MQ==	14	https://codeupcrc.github.io/?key=14	Plz try not to have duplicate code, it will be difficult to maintain	Code	Yes	TRUE	Complex, long, or inadequate logic	Conditional	Accepted	Extract method	Yes		Yes		NONE	NONE	NONE	NONE	FALSE	Explicit	The reviewer suggests the changing because "it will be difficult to maintain"
alibaba/nacos	3773	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUxNzA2MzE4Nw==	6	https://codeupcrc.github.io/?key=6	Please do not change the code style.	Code	Yes	FALSE															
alibaba/nacos	3104	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0MTk4Mzg0MQ==	10	https://codeupcrc.github.io/?key=10	Do not change the Indentation.	Code	Yes	FALSE															
alibaba/nacos	2926	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNzgyMTg2Nw==	13	https://codeupcrc.github.io/?key=13	remove extra blank line	Code	Yes	FALSE															
alibaba/nacos	3763	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4NDE2MTAwMQ==	7	https://codeupcrc.github.io/?key=7	In this part, I suggest that you refactor like following: if (!result.ok()) {     Loggers.RAFT.warn(...);     return; }  the other codes do not changed except remove `return 0`	Code	Yes	FALSE															
alibaba/sentinel	1783	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwMDQ1ODI5Ng==	16	https://codeupcrc.github.io/?key=16	Maybe the variable in logging message should be updated now.	Code	No	FALSE															
alibaba/sentinel	1729	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4Njk3NzI1OQ==	17	https://codeupcrc.github.io/?key=17	[INFO] --- maven-pmd-plugin:3.8:check (default) @ sentinel-api-gateway-adapter-common --- [INFO] PMD Failure: com.alibaba.csp.sentinel.adapter.gateway.common.rule.GatewayRuleManager$GatewayRulePropertyListener:232 Rule:NeedBraceRule Priority:1 if语句缺少大括号.	Code	Yes	FALSE															
alibaba/sentinel	1383	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2NTQ1NzYxMQ==	20	https://codeupcrc.github.io/?key=20	Useless?	Code	Yes	TRUE	Unnecessary Code	Method	Accepted	Remove non-referred constant, import, class, method, or variable	Yes		Yes		NONE	UnusedPrivateMethod	Unused "private" methods should be removed	NONE	TRUE	Implicit	The comment suggest remove useless code
alibaba/sentinel	1383	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2NTQ2NDQ4Ng==	21	https://codeupcrc.github.io/?key=21	Maybe len=0 should also be added here for more obvious.	Code	No	FALSE															
alibaba/sentinel	1555	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0MTMyMTU1Nw==	19	https://codeupcrc.github.io/?key=19	Maybe parseOrigin is better?	Code	Yes	TRUE	Bad identifier	Method	Accepted	Modify an identifier to express the meaning or type of an element	Yes		Yes		NONE	NONE	NONE	NONE	FALSE	Implicit	The reviewer suggests to improve the identifier. The name of code element helps developers to understand what that element means and its content.
alibaba/sentinel	1631	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2NDc3NDk1Mg==	18	https://codeupcrc.github.io/?key=18	Usually, the getXxxMap() operation should not be public exported.	Code	No	FALSE															
alibaba/sentinel	1896	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU0MjQ4ODI2NA==	15	https://codeupcrc.github.io/?key=15	Maybe HTTPS support is not implemented in netty-http module.	Code	No	FALSE															
all-of-us/workbench	3636	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNTQyNzQxOQ==	24	https://codeupcrc.github.io/?key=24	Is there any chance that cohort could be null? Should we also handle nullPointer?	Code	No	FALSE															
all-of-us/workbench	3040	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3MjE2MjI4Mw==	30	https://codeupcrc.github.io/?key=30	Yeah we should definitely have some cron cleanup for orphans here. Do you mind filing a ticket for later? For example, if this request times out (but actually succeeds on the backend), we wind up with a defunct project attached to the user's billing account.	Code	No	FALSE															
all-of-us/workbench	3016	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2OTE1NTA1NQ==	31	https://codeupcrc.github.io/?key=31	nit: The name of the function doesn't suggest to me the type. Maybe createClaimsJwt()?	Code	Yes	TRUE	Bad identifier	Method	Accepted	Modify an identifier to express the meaning or type of an element	Yes		Yes		None	NONE	NONE	NONE	FALSE	Implicit	The reviewer suggests to adjust the identifier. The name of code element helps developers to understand what that element means and its content. The context of this improvement has no impact on the functionality or performance.
